SMILES,ERRORS
CO[C@H]1[C@H](O)[C@H](O[C@H]([C@H]1O)C)Oc1ccc(cc1)NC(=S)N[C@H](C(=O)N[C@H](C(=O)O[C@]1(CC)C(=O)OCc2c1cc1c3nc4ccccc4cc3Cn1c2=O)C(C)C)Cc1c[nH]cn1,SUCCESS
CCc1c2cc(ccc2nc2c1Cn1c2cc2c(c1=O)COC(=O)[C@]2(O)CC)OC(=O)CCC(=O)Oc1c(C)c(C)c2c(c1C)CC[C@@](O2)(C)CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CNc1ccc(cc1)Cl,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CNc1ccccn1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccc(cc4c(c3Cn1c2=O)CC)O,SUCCESS
CCCCS(=O)(=O)N1CCN(CC1)Cc1c2ccccc2nc2c1Cn1c2cc2c(c1=O)COC(=O)[C@]2(O)CC,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)/C=N/OCc1ccccc1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)c1cc(OC)cc(c1)OC,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CN1CCN(CC1)S(=O)(=O)Cc1ccccc1,SUCCESS
CCOC(=O)c1cc(cn1COC)NC(=O)c1cc(cn1COC)NC(=O)c1cc(cn1COC)0C(=O)COc1ccc2c(c1)cc1c(n2)c2n(C1)c(=O)c1c(c2)C(O)(CC)C(=O)OC1,SUCCESS
CC[C@@]1(O)C(=O)OCc2c1cc1c3nc4ccccc4c(c3Cn1c2=O)CCNC(C)C.Cl,SUCCESS
